Athlete,NOC,Discipline,Event,Medal,Edition
"THYMANN, Poul",DEN,Rowing,four-oared shell with coxswain (4-),Bronze,1912
"ARNHEITER, Albert",GER,Rowing,four-oared shell with coxswain (4-),Gold,1912
"FICKEISEN, Otto",GER,Rowing,four-oared shell with coxswain (4-),Gold,1912
"FICKEISEN, Rudolf",GER,Rowing,four-oared shell with coxswain (4-),Gold,1912
"LEISTER, Karl",GER,Rowing,four-oared shell with coxswain (4-),Gold,1912
"WILKER, Hermann",GER,Rowing,four-oared shell with coxswain (4-),Gold,1912
"BERESFORD, Julius",GBR,Rowing,four-oared shell with coxswain (4-),Silver,1912
"CARR, Geoffrey",GBR,Rowing,four-oared shell with coxswain (4-),Silver,1912
"LOGAN, Herbert Bruce",GBR,Rowing,four-oared shell with coxswain (4-),Silver,1912
"ROUGHT, Charles Gardner",GBR,Rowing,four-oared shell with coxswain (4-),Silver,1912
"VERNON, Karl",GBR,Rowing,four-oared shell with coxswain (4-),Silver,1912
"BUTLER, Everard Burnside",CAN,Rowing,single sculls (1x),Bronze,1912
"KUSIK, Mikhaïl Maksimilian",RU1,Rowing,single sculls (1x),Bronze,1912
"KINNEAR, William Duthie",GBR,Rowing,single sculls (1x),Gold,1912
"VEIRMAN, Polydore",BEL,Rowing,single sculls (1x),Silver,1912
"Beloselsky-Belozersky, Esper Konstantinovich",RU1,Sailing,10m,Bronze,1912
"BRASCHE, Ernest",RU1,Sailing,10m,Bronze,1912
"LINDBLOM, Karl",RU1,Sailing,10m,Bronze,1912
"PUSCHNITSKY, Nikolaï",RU1,Sailing,10m,Bronze,1912
"RODIONOV, Aleksandr",RU1,Sailing,10m,Bronze,1912
"SCHOMAKER, Iossif",RU1,Sailing,10m,Bronze,1912
"STRAUCH, Filip",RU1,Sailing,10m,Bronze,1912
"ERICSSON, Filip",SWE,Sailing,10m,Gold,1912
"HELLSTRÖM, Carl Ludwig",SWE,Sailing,10m,Gold,1912
"ISBERG, Paul",SWE,Sailing,10m,Gold,1912
"LUNDEN, Humbert",SWE,Sailing,10m,Gold,1912
"NYBERG, Herman",SWE,Sailing,10m,Gold,1912
"ROSENWÄRD, Harry",SWE,Sailing,10m,Gold,1912
"WALLERIUS, Eric G.",SWE,Sailing,10m,Gold,1912
"WALLIN, Harald",SWE,Sailing,10m,Gold,1912
"BJÖRKSTEN, Waldemar",FIN,Sailing,10m,Silver,1912
"BJÖRNSTRÖM, Jacob Karl",FIN,Sailing,10m,Silver,1912
"BRENNER, Bror Benedikt",FIN,Sailing,10m,Silver,1912
"FRANCK, Allan",FIN,Sailing,10m,Silver,1912
"LINDH, Erik",FIN,Sailing,10m,Silver,1912
"PEKKALAINEN, Adolf Aarne",FIN,Sailing,10m,Silver,1912
"WAHL, Harry",FIN,Sailing,10m,Silver,1912
"ALFTHAN, Max",FIN,Sailing,12m,Bronze,1912
"HARTVALL, Erik",FIN,Sailing,12m,Bronze,1912
"HULLDEN, Jarl",FIN,Sailing,12m,Bronze,1912
"JUSLEN, Sigurd",FIN,Sailing,12m,Bronze,1912
"KROGIUS, Ernest Edvard",FIN,Sailing,12m,Bronze,1912
"SANDELIN, Eino",FIN,Sailing,12m,Bronze,1912
"SILEN, John",FIN,Sailing,12m,Bronze,1912
"ANKER, Johan August",NOR,Sailing,12m,Gold,1912
"BERTELSEN, Nils",NOR,Sailing,12m,Gold,1912
"FALCH-LUND, Eilert",NOR,Sailing,12m,Gold,1912
"HANSEN, Halfdan",NOR,Sailing,12m,Gold,1912
"HEJE, Arnfinn Kolbjörn",NOR,Sailing,12m,Gold,1912
"KONOW, Magnus",NOR,Sailing,12m,Gold,1912
"LARSEN, Alfred",NOR,Sailing,12m,Gold,1912
"LARSEN, Petter Andreas",NOR,Sailing,12m,Gold,1912
"STAIB, Christian Frederik",NOR,Sailing,12m,Gold,1912
"THAULOW, Carl Gustav",NOR,Sailing,12m,Gold,1912
"BERGMAN, Per",SWE,Sailing,12m,Silver,1912
"BERGSTRÖM, Dick",SWE,Sailing,12m,Silver,1912
"BERGSTRÖM, Kurt",SWE,Sailing,12m,Silver,1912
"CLASON, Hugo",SWE,Sailing,12m,Silver,1912
"JOHNSON, Folke",SWE,Sailing,12m,Silver,1912
"KANDER, Sigurd",SWE,Sailing,12m,Silver,1912
"LAMBY, Nils",SWE,Sailing,12m,Silver,1912
"LINDQVIST, Erik",SWE,Sailing,12m,Silver,1912
"PERSSON, Nils",SWE,Sailing,12m,Silver,1912
"SÄLLSTRÖM, Richard",SWE,Sailing,12m,Silver,1912
"AUST, Otto",SWE,Sailing,6m,Bronze,1912
"SANDBERG, Erik",SWE,Sailing,6m,Bronze,1912
"SANDBERG, Harald",SWE,Sailing,6m,Bronze,1912
"THUBE, Amédé",FRA,Sailing,6m,Gold,1912
"THUBE, Gaston",FRA,Sailing,6m,Gold,1912
"THUBE, Jacques",FRA,Sailing,6m,Gold,1912
"HERSCHEND, Steen",DEN,Sailing,6m,Silver,1912
"MEULENGRACHT-MADSEN, Hans",DEN,Sailing,6m,Silver,1912
"THOMSEN, Sven Bernth",DEN,Sailing,6m,Silver,1912
"AHNGER, Arthur",FIN,Sailing,8m,Bronze,1912
"LINDH, Emil",FIN,Sailing,8m,Bronze,1912
"TALLBERG, Bertil",FIN,Sailing,8m,Bronze,1912
"TALLBERG, Gunnar",FIN,Sailing,8m,Bronze,1912
"WESTLING, Georg",FIN,Sailing,8m,Bronze,1912
"AAS, Thomas Valentin",NOR,Sailing,8m,Gold,1912
"BRECKE, Andreas Bang",NOR,Sailing,8m,Gold,1912
"CORNELIUS, Torleiv Schibsted",NOR,Sailing,8m,Gold,1912
"GLAD, Thoralf",NOR,Sailing,8m,Gold,1912
"JEBE, Christian Fredrik",NOR,Sailing,8m,Gold,1912
"HENRIQUES, Emil",SWE,Sailing,8m,Silver,1912
"HEYMAN, Bengt",SWE,Sailing,8m,Silver,1912
"THIEL, Alvar",SWE,Sailing,8m,Silver,1912
"WESTERMARK, Herbert",SWE,Sailing,8m,Silver,1912
"WESTERMARK, Nils",SWE,Sailing,8m,Silver,1912
"SWAHN, Oscar",SWE,Shooting,"100m running deer, double shots",Bronze,1912
"LUNDEBERG, Ake",SWE,Shooting,"100m running deer, double shots",Gold,1912
"BENEDICKS, Edward",SWE,Shooting,"100m running deer, double shots",Silver,1912
"TOIVONEN, Nestori",FIN,Shooting,"100m running deer, single shots",Bronze,1912
"SWAHN, Alfred",SWE,Shooting,"100m running deer, single shots",Gold,1912
"LUNDEBERG, Ake",SWE,Shooting,"100m running deer, single shots",Silver,1912
"LONDEN, Axel Fredrik",FIN,Shooting,"100m running deer, single shots, team",Bronze,1912
"ROSENQUIST, Ernst Edvard",FIN,Shooting,"100m running deer, single shots, team",Bronze,1912
"TOIVONEN, Nestori",FIN,Shooting,"100m running deer, single shots, team",Bronze,1912
"WÄÄNÄNEN, Tivo",FIN,Shooting,"100m running deer, single shots, team",Bronze,1912
"ARVIDSSON, Per Olof",SWE,Shooting,"100m running deer, single shots, team",Gold,1912
"LUNDEBERG, Ake",SWE,Shooting,"100m running deer, single shots, team",Gold,1912
"SWAHN, Alfred",SWE,Shooting,"100m running deer, single shots, team",Gold,1912
"SWAHN, Oscar",SWE,Shooting,"100m running deer, single shots, team",Gold,1912
"LEUSHNER, William F.",USA,Shooting,"100m running deer, single shots, team",Silver,1912
"LIBBEY, William",USA,Shooting,"100m running deer, single shots, team",Silver,1912
"MCDONNELL, William Neil",USA,Shooting,"100m running deer, single shots, team",Silver,1912
"WINANS, Walter",USA,Shooting,"100m running deer, single shots, team",Silver,1912
"VON HOLST, Johan Hübner",SWE,Shooting,25m rapid fire pistol (60 shots),Bronze,1912
"LANE, Alfred P.",USA,Shooting,25m rapid fire pistol (60 shots),Gold,1912
"PALEN, Paul",SWE,Shooting,25m rapid fire pistol (60 shots),Silver,1912
"HIRD, Frederick S.",USA,Shooting,"25m small bore rifle, team",Bronze,1912
"LEUSHNER, William F.",USA,Shooting,"25m small bore rifle, team",Bronze,1912
"MCDONNELL, William Neil",USA,Shooting,"25m small bore rifle, team",Bronze,1912
"SPROUT, Warren A.",USA,Shooting,"25m small bore rifle, team",Bronze,1912
"BOIVIE, Gustav",SWE,Shooting,"25m small bore rifle, team",Gold,1912
"CARLBERG, Eric",SWE,Shooting,"25m small bore rifle, team",Gold,1912
"CARLBERG, G. Vilhelm",SWE,Shooting,"25m small bore rifle, team",Gold,1912
"VON HOLST, Johan Hübner",SWE,Shooting,"25m small bore rifle, team",Gold,1912
"MILNE, William",GBR,Shooting,"25m small bore rifle, team",Silver,1912
"PEPE, Joseph",GBR,Shooting,"25m small bore rifle, team",Silver,1912
"PIMM, William Edwin",GBR,Shooting,"25m small bore rifle, team",Silver,1912
"STYLES, William Kensett",GBR,Shooting,"25m small bore rifle, team",Silver,1912
"ERICSSON, Gideon",SWE,Shooting,25m small rifle,Bronze,1912
"CARLBERG, G. Vilhelm",SWE,Shooting,25m small rifle,Gold,1912
"VON HOLST, Johan Hübner",SWE,Shooting,25m small rifle,Silver,1912
"LARSEN, Niels Hansen Ditlev",DEN,Shooting,300m free rifle 3 positions (3x40 shots),Bronze,1912
"COLAS, Paul René",FRA,Shooting,300m free rifle 3 positions (3x40 shots),Gold,1912
"MADSEN, Lars Jörgen",DEN,Shooting,300m free rifle 3 positions (3x40 shots),Silver,1912
"DURANT, Hugh",GBR,Shooting,"30m army pistol, team",Bronze,1912
"KEMPSTER, Albert Joseph",GBR,Shooting,"30m army pistol, team",Bronze,1912
"POULTER, Horatio Orlando",GBR,Shooting,"30m army pistol, team",Bronze,1912
"STEWART, Charles Edward",GBR,Shooting,"30m army pistol, team",Bronze,1912
"CARLBERG, Eric",SWE,Shooting,"30m army pistol, team",Gold,1912
"CARLBERG, G. Vilhelm",SWE,Shooting,"30m army pistol, team",Gold,1912
"PALEN, Paul",SWE,Shooting,"30m army pistol, team",Gold,1912
"VON HOLST, Johan Hübner",SWE,Shooting,"30m army pistol, team",Gold,1912
"DE KACHE, Amos",RU1,Shooting,"30m army pistol, team",Silver,1912
"DE MELNITSKY, Nikolaï",RU1,Shooting,"30m army pistol, team",Silver,1912
"DE PANTELEYMONOFF, Georgi",RU1,Shooting,"30m army pistol, team",Silver,1912
"DE WEYLOCHNIKOFF, Pavel",RU1,Shooting,"30m army pistol, team",Silver,1912
"DURANT, Hugh",GBR,Shooting,"50m army pistol, team",Bronze,1912
"KEMPSTER, Albert Joseph",GBR,Shooting,"50m army pistol, team",Bronze,1912
"POULTER, Horatio Orlando",GBR,Shooting,"50m army pistol, team",Bronze,1912
"STEWART, Charles Edward",GBR,Shooting,"50m army pistol, team",Bronze,1912
"DIETZ, John A.",USA,Shooting,"50m army pistol, team",Gold,1912
"DOLFEN, Peter J.",USA,Shooting,"50m army pistol, team",Gold,1912
"LANE, Alfred P.",USA,Shooting,"50m army pistol, team",Gold,1912
"SEARS, Henry Francis",USA,Shooting,"50m army pistol, team",Gold,1912
"BOSTRÖM, Erik",SWE,Shooting,"50m army pistol, team",Silver,1912
"CARLBERG, Eric",SWE,Shooting,"50m army pistol, team",Silver,1912
"CARLBERG, G. Vilhelm",SWE,Shooting,"50m army pistol, team",Silver,1912
"DE LAVAL, Georg",SWE,Shooting,"50m army pistol, team",Silver,1912
"STEWART, Charles Edward",GBR,Shooting,50m pistol (60 shots),Bronze,1912
"LANE, Alfred P.",USA,Shooting,50m pistol (60 shots),Gold,1912
"DOLFEN, Peter J.",USA,Shooting,50m pistol (60 shots),Silver,1912
"BURT, Harold",GBR,Shooting,50m rifle prone (60 shots),Bronze,1912
"HIRD, Frederick S.",USA,Shooting,50m rifle prone (60 shots),Gold,1912
"MILNE, William",GBR,Shooting,50m rifle prone (60 shots),Silver,1912
"HIRD, Frederick S.",USA,Shooting,"50m small bore rifle, team",Bronze,1912
"LEUSHNER, William F.",USA,Shooting,"50m small bore rifle, team",Bronze,1912
"OSBURN, Carl Townsend",USA,Shooting,"50m small bore rifle, team",Bronze,1912
"SPROUT, Warren A.",USA,Shooting,"50m small bore rifle, team",Bronze,1912
"LESSIMORE, Edward John",GBR,Shooting,"50m small bore rifle, team",Gold,1912
"MURRAY, Robert Cook",GBR,Shooting,"50m small bore rifle, team",Gold,1912
"PEPE, Joseph",GBR,Shooting,"50m small bore rifle, team",Gold,1912
"PIMM, William Edwin",GBR,Shooting,"50m small bore rifle, team",Gold,1912
"CARLBERG, Eric",SWE,Shooting,"50m small bore rifle, team",Silver,1912
"CARLBERG, G. Vilhelm",SWE,Shooting,"50m small bore rifle, team",Silver,1912
"NORDENSWAN, Arthur",SWE,Shooting,"50m small bore rifle, team",Silver,1912
"ÖRTEGREN, Ruben",SWE,Shooting,"50m small bore rifle, team",Silver,1912
"JACKSON, John E.",USA,Shooting,600m free rifle,Bronze,1912
"COLAS, Paul René",FRA,Shooting,600m free rifle,Gold,1912
"OSBURN, Carl Townsend",USA,Shooting,600m free rifle,Silver,1912
"SKOGEN, Engebret",NOR,Shooting,"army rifle, 300m, 3 positions",Bronze,1912
"PROKOPP, Sandor",HUN,Shooting,"army rifle, 300m, 3 positions",Gold,1912
"OSBURN, Carl Townsend",USA,Shooting,"army rifle, 300m, 3 positions",Silver,1912
"GOELDEL, Alfred",GER,Shooting,"clay pigeons, team",Bronze,1912
"GOELDEL, Horst",GER,Shooting,"clay pigeons, team",Bronze,1912
"GRAF VON BERNSTORFF, Erich",GER,Shooting,"clay pigeons, team",Bronze,1912
"KOCH, Erland",GER,Shooting,"clay pigeons, team",Bronze,1912
"PREUSS, Albert",GER,Shooting,"clay pigeons, team",Bronze,1912
"VON ZEIDLITZ UND LEIPE, Franz Freiherr",GER,Shooting,"clay pigeons, team",Bronze,1912
"BILLINGS, Charles W.",USA,Shooting,"clay pigeons, team",Gold,1912
"GLEASON, Edward Francis",USA,Shooting,"clay pigeons, team",Gold,1912
"GRAHAM, James R.",USA,Shooting,"clay pigeons, team",Gold,1912
"HALL, Frank",USA,Shooting,"clay pigeons, team",Gold,1912
"HENDRICKSON, John H.",USA,Shooting,"clay pigeons, team",Gold,1912
"SPOTTS, Ralph Lewis",USA,Shooting,"clay pigeons, team",Gold,1912
"BUTT, John Hurst",GBR,Shooting,"clay pigeons, team",Silver,1912
"GROSVENOR, William Percy",GBR,Shooting,"clay pigeons, team",Silver,1912
"HUMBY, Harry Robinson",GBR,Shooting,"clay pigeons, team",Silver,1912
"MAUNDER, Alexander",GBR,Shooting,"clay pigeons, team",Silver,1912
"PALMER, Charles",GBR,Shooting,"clay pigeons, team",Silver,1912
"WHITAKER, George",GBR,Shooting,"clay pigeons, team",Silver,1912
"ANDERSEN, Niels",DEN,Shooting,"free rifle, team",Bronze,1912
"HAJSLUND, Jens Madsen",DEN,Shooting,"free rifle, team",Bronze,1912
"LARSEN, Laurits Teodor Christian",DEN,Shooting,"free rifle, team",Bronze,1912
"LARSEN, Niels Hansen Ditlev",DEN,Shooting,"free rifle, team",Bronze,1912
"MADSEN, Lars Jörgen",DEN,Shooting,"free rifle, team",Bronze,1912
"OLSEN, Ole",DEN,Shooting,"free rifle, team",Bronze,1912
"BJÖRKMAN, Carl",SWE,Shooting,"free rifle, team",Gold,1912
"BLOMQVIST, Erik",SWE,Shooting,"free rifle, team",Gold,1912
"ERIKSSON, Mauritz",SWE,Shooting,"free rifle, team",Gold,1912
"JOHANSSON, Carl Hugo",SWE,Shooting,"free rifle, team",Gold,1912
"JONSSON, Gustaf Adolf",SWE,Shooting,"free rifle, team",Gold,1912
"LARSSON, Bernhard",SWE,Shooting,"free rifle, team",Gold,1912
"HELGERUD, Albert",NOR,Shooting,"free rifle, team",Silver,1912
"LIBERG, Einar",NOR,Shooting,"free rifle, team",Silver,1912
"ÖSTENSEN, Östen",NOR,Shooting,"free rifle, team",Silver,1912
"SAETHER, Olaf",NOR,Shooting,"free rifle, team",Silver,1912
"SAETHER, Ole Andreas",NOR,Shooting,"free rifle, team",Silver,1912
"SKATTEBOE, Gudbrand Gudbrandsen",NOR,Shooting,"free rifle, team",Silver,1912
"BJÖRKMAN, Carl",SWE,Shooting,"rifle, team",Bronze,1912
"BJÖRKMAN, Tönnes",SWE,Shooting,"rifle, team",Bronze,1912
"ERIKSSON, Mauritz",SWE,Shooting,"rifle, team",Bronze,1912
"JERNSTRÖM, Verner",SWE,Shooting,"rifle, team",Bronze,1912
"JOHANSSON, Carl Hugo",SWE,Shooting,"rifle, team",Bronze,1912
"LARSSON, Bernhard",SWE,Shooting,"rifle, team",Bronze,1912
"ADAMS, Harry Loren",USA,Shooting,"rifle, team",Gold,1912
"BRIGGS, Allan Lindsay",USA,Shooting,"rifle, team",Gold,1912
"BURDETTE, Cornelius L.",USA,Shooting,"rifle, team",Gold,1912
"JACKSON, John E.",USA,Shooting,"rifle, team",Gold,1912
"OSBURN, Carl Townsend",USA,Shooting,"rifle, team",Gold,1912
"SPROUT, Warren A.",USA,Shooting,"rifle, team",Gold,1912
"BURR, Henry Goerge",GBR,Shooting,"rifle, team",Silver,1912
"FULTON, Arthur George",GBR,Shooting,"rifle, team",Silver,1912
"OMMUNDSEN, Harcourt",GBR,Shooting,"rifle, team",Silver,1912
"PARNELL, Edward Louis",GBR,Shooting,"rifle, team",Silver,1912
"REID, James",GBR,Shooting,"rifle, team",Silver,1912
"SKILTON, Edward",GBR,Shooting,"rifle, team",Silver,1912
"BLAU, Harry",RU1,Shooting,trap (125 targets),Bronze,1912
"GRAHAM, James R.",USA,Shooting,trap (125 targets),Gold,1912
"GOELDEL, Alfred",GER,Shooting,trap (125 targets),Silver,1912
"CANET, Albert Henri",FRA,Tennis,doubles,Bronze,1912
"MENY DE MARANGUE, Edouard Marie Marc",FRA,Tennis,doubles,Bronze,1912
"KITSON, Harry Austin",RSA,Tennis,doubles,Gold,1912
"WINSLOW, Charles Lyndhurst",RSA,Tennis,doubles,Gold,1912
"PIPES, Fritz Felix",AUT,Tennis,doubles,Silver,1912
"ZBORZIL, Arthur",AUT,Tennis,doubles,Silver,1912
"BEAMISH, Alfred Ernest",GBR,Tennis,doubles indoor,Bronze,1912
"DIXON, Charles Percy",GBR,Tennis,doubles indoor,Bronze,1912
"GERMOT, Maurice",FRA,Tennis,doubles indoor,Gold,1912
"GOBERT, André Henri",FRA,Tennis,doubles indoor,Gold,1912
"KEMPE, Carl",SWE,Tennis,doubles indoor,Silver,1912
"SETTERWALL, Gunnar",SWE,Tennis,doubles indoor,Silver,1912
"CANET, Albert Henri",FRA,Tennis,mixed doubles,Bronze,1912
"SCHOMBURGK, Heinrich",GER,Tennis,mixed doubles,Gold,1912
"SETTERWALL, Gunnar",SWE,Tennis,mixed doubles,Silver,1912
"BROQUEDIS, Marguerite",FRA,Tennis,mixed doubles,Bronze,1912
"KÖRING, Dora",GER,Tennis,mixed doubles,Gold,1912
"FICK, Sigrid",SWE,Tennis,mixed doubles,Silver,1912
"SETTERWALL, Gunnar",SWE,Tennis,mixed doubles indoor,Bronze,1912
"DIXON, Charles Percy",GBR,Tennis,mixed doubles indoor,Gold,1912
"BARRETT, Herbert Roper",GBR,Tennis,mixed doubles indoor,Silver,1912
"FICK, Sigrid",SWE,Tennis,mixed doubles indoor,Bronze,1912
"HANNAM, Edith Margaret",GBR,Tennis,mixed doubles indoor,Gold,1912
"AITCHISON, Francis Helen",GBR,Tennis,mixed doubles indoor,Silver,1912
"KREUZER, Oscar",GER,Tennis,singles,Bronze,1912
"WINSLOW, Charles Lyndhurst",RSA,Tennis,singles,Gold,1912
"KITSON, Harry Austin",RSA,Tennis,singles,Silver,1912
"BJURSTEDT, Anne Margrethe",NOR,Tennis,singles,Bronze,1912
"BROQUEDIS, Marguerite",FRA,Tennis,singles,Gold,1912
"KÖRING, Dora",GER,Tennis,singles,Silver,1912
"WILDING, Anthony Frederick",ANZ,Tennis,singles indoor,Bronze,1912
"GOBERT, André Henri",FRA,Tennis,singles indoor,Gold,1912
"DIXON, Charles Percy",GBR,Tennis,singles indoor,Silver,1912
"PARTON, Mabel Branwell",GBR,Tennis,singles indoor,Bronze,1912
"HANNAM, Edith Margaret",GBR,Tennis,singles indoor,Gold,1912
"CASTENSCHIOLD, Thora Gerda Sophie",DEN,Tennis,singles indoor,Silver,1912
"ANDERSSON, Arvid Leander",SWE,Tug of War,tug of war,Gold,1912
"BERGMAN, Adolf",SWE,Tug of War,tug of war,Gold,1912
"EDMAN, Johan Victor",SWE,Tug of War,tug of war,Gold,1912
"FREDRIKSSON, Erik Algot",SWE,Tug of War,tug of war,Gold,1912
"GUSTAFSSON, August",SWE,Tug of War,tug of war,Gold,1912
"JONSSON, Carl",SWE,Tug of War,tug of war,Gold,1912
"LARSSON, Eric Victor",SWE,Tug of War,tug of war,Gold,1912
"LINDSTRÖM, Carl Herbert",SWE,Tug of War,tug of war,Gold,1912
"CHAFFE, Walter",GBR,Tug of War,tug of war,Silver,1912
"DOWLER, Joseph",GBR,Tug of War,tug of war,Silver,1912
"HUMPHREYS, Frederick Harkness",GBR,Tug of War,tug of war,Silver,1912
"HYNES, Mathias",GBR,Tug of War,tug of war,Silver,1912
"MILLS, Edwin Archer",GBR,Tug of War,tug of war,Silver,1912
"MUNRO, Alexander",GBR,Tug of War,tug of war,Silver,1912
"SEWELL, John",GBR,Tug of War,tug of war,Silver,1912
"SHEPHERD, James",GBR,Tug of War,tug of war,Silver,1912
"LASANEN, Otto",FIN,Wrestling Gre-R,- 60kg (featherweight),Bronze,1912
"KOSKELO, Kaarlo",FIN,Wrestling Gre-R,- 60kg (featherweight),Gold,1912
"GERSTÄCKER, Georg",GER,Wrestling Gre-R,- 60kg (featherweight),Silver,1912
"JENSEN, Sören Marius",DEN,Wrestling Gre-R,+ 82.5kg (super heavyweight),Bronze,1912
"SAARELA, Urjö Erik Mikael",FIN,Wrestling Gre-R,+ 82.5kg (super heavyweight),Gold,1912
"OLIN, Johan Fredrik",FIN,Wrestling Gre-R,+ 82.5kg (super heavyweight),Silver,1912
"MATIASSON, Edvin",SWE,Wrestling Gre-R,60 - 67.5kg (lightweight),Bronze,1912
"VÄRE, Eemil Ernesti",FIN,Wrestling Gre-R,60 - 67.5kg (lightweight),Gold,1912
"MALMSTRÖM, Gustaf H.",SWE,Wrestling Gre-R,60 - 67.5kg (lightweight),Silver,1912
"ASIKAINEN, Alfred",FIN,Wrestling Gre-R,67.5 - 75kg (middleweight),Bronze,1912
"JOHANSSON, Claes",SWE,Wrestling Gre-R,67.5 - 75kg (middleweight),Gold,1912
"KLEIN, Martin",RU1,Wrestling Gre-R,67.5 - 75kg (middleweight),Silver,1912
"VARGA, Béla",HUN,Wrestling Gre-R,75 - 82.5kg (light-heavyweight),Bronze,1912
"AHLGREN, Anders",SWE,Wrestling Gre-R,75 - 82.5kg (light-heavyweight),Silver,1912
"BÖHLING, Ivar Theodor",FIN,Wrestling Gre-R,75 - 82.5kg (light-heavyweight),Silver,1912
"PRIESTE, Harry",USA,Diving,10m platform,Bronze,1920
"PINKSTON, Clarence",USA,Diving,10m platform,Gold,1920
"ADLERZ, Erik",SWE,Diving,10m platform,Silver,1920
"OLLIVIER, Eva",SWE,Diving,10m platform,Bronze,1920
"FRYLAND CLAUSEN, Stefani",DEN,Diving,10m platform,Gold,1920
"ARMSTRONG, Beatrix Eileen",GBR,Diving,10m platform,Silver,1920
"BALBACH, Louis James",USA,Diving,3m springboard,Bronze,1920
"KUEHN, Louis",USA,Diving,3m springboard,Gold,1920
"PINKSTON, Clarence",USA,Diving,3m springboard,Silver,1920
"PAYNE, Thelma",USA,Diving,3m springboard,Bronze,1920
"RIGGIN, Aileen",USA,Diving,3m springboard,Gold,1920
"WAINWRIGHT, Helen",USA,Diving,3m springboard,Silver,1920
"JANSSON, John",SWE,Diving,plain high diving,Bronze,1920
"WALLMAN, Arvid",SWE,Diving,plain high diving,Gold,1920
"SKOGLUND, Nils",SWE,Diving,plain high diving,Silver,1920
"BLITZ, Gerard",BEL,Swimming,100m backstroke,Bronze,1920
"KEALOHA, Warren Paoa",USA,Swimming,100m backstroke,Gold,1920
"KEGERIS, Raymond",USA,Swimming,100m backstroke,Silver,1920
"HARRIS, William",USA,Swimming,100m freestyle,Bronze,1920
"KAHANAMOKU, Duke Paoa",USA,Swimming,100m freestyle,Gold,1920
"KEALOHA, Pua Kela",USA,Swimming,100m freestyle,Silver,1920
"SCHROTH, Frances",USA,Swimming,100m freestyle,Bronze,1920
"BLEIBTREY, Ethelda",USA,Swimming,100m freestyle,Gold,1920
"GUEST, Irene",USA,Swimming,100m freestyle,Silver,1920
"BEAUREPAIRE, Frank E.",AUS,Swimming,1500m freestyle,Bronze,1920
"ROSS, Norman",USA,Swimming,1500m freestyle,Gold,1920
"VERNOT, George",CAN,Swimming,1500m freestyle,Silver,1920
"AALTONEN, Arvo Ossian",FIN,Swimming,200m breaststroke,Bronze,1920
"MALMROT, Hakan",SWE,Swimming,200m breaststroke,Gold,1920
"HENNING, Tor",SWE,Swimming,200m breaststroke,Silver,1920
"AALTONEN, Arvo Ossian",FIN,Swimming,400m breaststroke,Bronze,1920
"MALMROT, Hakan",SWE,Swimming,400m breaststroke,Gold,1920
"HENNING, Tor",SWE,Swimming,400m breaststroke,Silver,1920
"VERNOT, George",CAN,Swimming,400m freestyle,Bronze,1920
"ROSS, Norman",USA,Swimming,400m freestyle,Gold,1920
"LANGER, Ludy",USA,Swimming,400m freestyle,Silver,1920
"SCHROTH, Frances",USA,Swimming,400m freestyle,Bronze,1920
"BLEIBTREY, Ethelda",USA,Swimming,400m freestyle,Gold,1920
"WOODBRIDGE, Margaret",USA,Swimming,400m freestyle,Silver,1920
"BERG, Aina",SWE,Swimming,4x100m freestyle relay,Bronze,1920
"GYLLING, Jane",SWE,Swimming,4x100m freestyle relay,Bronze,1920
"MACHNOW, Emy",SWE,Swimming,4x100m freestyle relay,Bronze,1920
"NILSSON, Karin",SWE,Swimming,4x100m freestyle relay,Bronze,1920
"BLEIBTREY, Ethelda",USA,Swimming,4x100m freestyle relay,Gold,1920
"GUEST, Irene",USA,Swimming,4x100m freestyle relay,Gold,1920
"SCHROTH, Frances",USA,Swimming,4x100m freestyle relay,Gold,1920
"WOODBRIDGE, Margaret",USA,Swimming,4x100m freestyle relay,Gold,1920
"JAMES, Hilda",GBR,Swimming,4x100m freestyle relay,Silver,1920
"JEANS, Constance Mabel",GBR,Swimming,4x100m freestyle relay,Silver,1920
"MAC KENZIE, Grace",GBR,Swimming,4x100m freestyle relay,Silver,1920
"RADCLIFFE, Charlotte",GBR,Swimming,4x100m freestyle relay,Silver,1920
"ANNISON, Harold Edward",GBR,Swimming,4x200m freestyle relay,Bronze,1920
"PETER, Edward Percival",GBR,Swimming,4x200m freestyle relay,Bronze,1920
"SAVAGE, Leslie",GBR,Swimming,4x200m freestyle relay,Bronze,1920
"TAYLOR, Henry",GBR,Swimming,4x200m freestyle relay,Bronze,1920
"KAHANAMOKU, Duke Paoa",USA,Swimming,4x200m freestyle relay,Gold,1920
"KEALOHA, Pua Kela",USA,Swimming,4x200m freestyle relay,Gold,1920
"MCGILLIVRAY, Perry",USA,Swimming,4x200m freestyle relay,Gold,1920
"ROSS, Norman",USA,Swimming,4x200m freestyle relay,Gold,1920
"BEAUREPAIRE, Frank E.",AUS,Swimming,4x200m freestyle relay,Silver,1920
"HAY, Henry",AUS,Swimming,4x200m freestyle relay,Silver,1920
"HERALD, William",AUS,Swimming,4x200m freestyle relay,Silver,1920
"STEDMAN, Ivan",AUS,Swimming,4x200m freestyle relay,Silver,1920
"ANDERSSON, Erik",SWE,Water polo,water polo,Bronze,1920
"ANDERSSON, Robert T.",SWE,Water polo,water polo,Bronze,1920
"ANDERSSON, Vilhelm",SWE,Water polo,water polo,Bronze,1920
